id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
63,0,54,1,47.0,1,1,0,2630.0,26.0,157,0
64,0,37,1,8.0,1,1,0,35190.0,152.0,90,0
65,0,24,1,38.0,1,2,0,29149.0,152.0,58,0
66,1,53,1,28.0,1,1,0,39416.0,26.0,143,0
67,0,28,1,43.0,1,1,0,2630.0,124.0,64,0
68,1,44,1,11.0,0,1,1,38094.0,154.0,181,0
69,0,42,1,46.0,0,1,1,25840.0,124.0,264,0
70,1,24,1,25.0,0,2,1,28942.0,152.0,67,0
71,1,24,1,24.0,0,2,1,35555.0,152.0,101,0
72,1,31,1,15.0,0,2,1,2630.0,152.0,157,0
73,0,45,1,28.0,0,1,1,31195.0,124.0,71,1
74,0,65,1,39.0,0,1,1,44317.0,26.0,96,0
75,1,24,1,2.0,1,2,0,22620.0,152.0,29,0
76,0,25,1,37.0,0,2,1,33614.0,152.0,114,0
77,0,46,1,35.0,0,1,1,25189.0,124.0,56,1
78,1,44,1,29.0,0,1,1,2630.0,157.0,58,0
79,0,24,1,41.0,1,2,0,39859.0,152.0,105,0
80,1,41,1,28.0,0,1,1,25668.0,26.0,253,1
81,1,26,1,37.0,1,2,0,32519.0,152.0,257,0
82,0,56,1,28.0,1,1,0,44653.0,26.0,207,0
83,0,22,1,5.0,0,2,1,42821.0,152.0,189,1
84,0,45,1,3.0,1,1,0,35364.0,124.0,273,0
85,1,50,1,24.0,0,1,0,27221.0,145.0,101,1
86,1,22,1,3.0,1,2,0,42863.0,152.0,222,0
87,1,22,1,41.0,1,2,0,40803.0,152.0,47,0
88,1,24,1,6.0,1,2,0,31060.0,152.0,269,0
89,1,53,1,28.0,1,1,0,25214.0,26.0,134,0
90,0,44,1,7.0,1,1,0,2630.0,124.0,295,0
91,0,24,1,21.0,1,2,0,36141.0,152.0,169,0
92,1,23,1,29.0,1,2,0,36890.0,152.0,14,0
93,1,25,1,3.0,1,2,0,24823.0,152.0,134,0
94,1,24,1,28.0,0,2,1,2630.0,152.0,20,0
95,1,30,1,23.0,1,2,0,16820.0,152.0,198,0
96,0,39,1,35.0,1,1,0,40551.0,152.0,96,0
97,0,23,1,46.0,0,2,1,22111.0,152.0,260,1
98,1,31,1,30.0,1,2,0,21680.0,152.0,119,0
99,1,20,1,42.0,1,2,0,32543.0,160.0,262,0
100,1,25,1,12.0,1,2,0,21047.0,152.0,64,0
101,1,26,1,6.0,1,2,0,33512.0,152.0,239,0
102,0,51,1,41.0,0,1,1,34767.0,26.0,141,1
103,0,79,1,28.0,0,1,1,31781.0,26.0,250,0
104,0,45,1,15.0,0,1,1,33018.0,26.0,58,0
105,0,52,1,28.0,1,1,0,44095.0,52.0,38,0
106,0,59,1,48.0,0,3,1,2630.0,26.0,62,0
107,0,25,1,28.0,0,2,1,39064.0,156.0,268,1
108,1,43,1,28.0,0,1,1,39606.0,124.0,43,1
109,0,38,1,8.0,1,1,1,2630.0,156.0,98,0
110,0,65,0,48.0,0,1,1,2630.0,124.0,13,0
111,1,39,1,28.0,1,1,0,34712.0,26.0,58,0
112,1,46,1,29.0,1,1,0,48359.0,124.0,74,0
113,1,22,1,23.0,1,2,0,31713.0,152.0,108,0
114,1,38,1,3.0,0,1,0,2630.0,157.0,42,0
115,1,30,1,50.0,1,2,0,2630.0,160.0,200,0
116,1,43,1,28.0,0,1,1,38223.0,124.0,97,1
117,0,22,1,46.0,1,2,0,30041.0,152.0,124,0
118,1,27,1,3.0,1,2,0,37012.0,152.0,204,0
119,1,31,1,45.0,0,1,1,28310.0,26.0,42,0
120,0,23,1,18.0,1,1,0,29124.0,26.0,146,0
121,0,75,1,28.0,1,1,0,35136.0,120.0,192,0
122,1,38,1,36.0,0,1,1,2630.0,124.0,61,1
123,0,25,1,11.0,1,2,0,38977.0,152.0,112,0
124,0,32,1,30.0,1,2,0,29667.0,152.0,120,0
125,1,76,1,15.0,0,1,1,32039.0,14.0,140,1
126,1,24,1,25.0,1,2,0,30694.0,152.0,132,0
127,1,23,1,46.0,1,2,0,44546.0,152.0,218,0
128,0,25,1,36.0,0,2,0,32478.0,152.0,181,0
129,1,59,1,50.0,1,1,0,46468.0,122.0,206,0
130,0,21,1,8.0,1,2,0,39967.0,152.0,247,0
131,1,32,1,49.0,0,2,1,35410.0,152.0,275,0
132,1,49,1,18.0,0,1,1,50187.0,124.0,131,1
133,0,25,1,15.0,0,2,1,27651.0,152.0,24,0
134,0,53,1,3.0,0,1,1,25147.0,124.0,155,0
135,0,32,1,29.0,0,2,1,2630.0,156.0,74,0
136,0,26,1,10.0,1,2,0,28562.0,152.0,212,0
137,0,50,1,49.0,1,1,0,28063.0,122.0,168,0
138,1,40,1,28.0,0,1,1,26553.0,124.0,178,0
139,1,24,1,24.0,0,2,1,38294.0,151.0,179,0
140,0,35,1,23.0,0,1,1,2630.0,156.0,176,1
141,0,21,1,9.0,1,2,0,2630.0,159.0,209,0
142,0,23,1,26.0,1,2,0,41292.0,152.0,152,0
143,1,62,1,28.0,0,1,1,45505.0,124.0,111,0
144,0,53,1,8.0,1,1,0,44282.0,26.0,239,0
145,0,58,1,28.0,0,3,1,35712.0,26.0,138,1
146,0,38,1,35.0,0,1,1,19753.0,124.0,278,0
147,0,56,1,8.0,0,1,1,46480.0,160.0,286,0
148,0,45,1,4.0,0,1,1,30600.0,124.0,98,0
149,0,61,1,6.0,0,1,1,27691.0,26.0,19,0
150,0,49,1,8.0,1,1,0,29765.0,124.0,186,0
151,1,80,1,28.0,1,1,1,2630.0,25.0,40,0
152,1,51,1,28.0,0,3,1,59018.0,26.0,55,1
153,1,22,1,32.0,1,2,0,30112.0,152.0,178,0
154,1,30,1,13.0,0,1,1,2630.0,156.0,198,1
155,1,66,1,41.0,0,3,1,2630.0,157.0,253,0
156,0,20,1,7.0,0,2,1,2630.0,160.0,158,0
157,1,38,1,15.0,0,1,1,39096.0,26.0,18,1
158,0,23,1,18.0,1,2,0,32375.0,152.0,199,0
159,1,42,1,28.0,0,1,1,44346.0,26.0,284,1
160,0,53,1,28.0,0,1,1,47025.0,26.0,266,0
161,1,27,1,27.0,0,2,1,27107.0,124.0,299,0
162,1,60,1,46.0,1,1,0,27672.0,124.0,267,0
163,0,46,1,15.0,0,1,1,2630.0,160.0,23,0
164,0,72,1,28.0,0,1,1,36890.0,25.0,218,0
165,0,57,1,28.0,0,3,1,48421.0,125.0,229,0
166,1,59,1,3.0,1,1,0,36348.0,26.0,55,0
167,1,24,1,50.0,1,2,0,20413.0,152.0,72,0
168,1,40,1,9.0,1,1,0,30530.0,124.0,11,0
169,1,41,1,8.0,1,1,0,31405.0,7.0,246,0
170,0,23,1,47.0,1,1,0,26718.0,26.0,29,0
171,1,59,1,50.0,0,1,1,38503.0,8.0,205,0
172,1,22,1,33.0,1,2,0,19540.0,152.0,147,0
173,0,21,1,8.0,0,2,0,53698.0,160.0,107,0
174,1,21,1,12.0,1,2,0,28309.0,160.0,129,0
175,0,35,1,41.0,0,1,1,35192.0,154.0,294,0
176,1,26,1,3.0,1,2,0,2630.0,152.0,193,0
177,0,29,1,41.0,1,2,0,43267.0,152.0,229,0
178,0,25,1,35.0,1,2,0,2630.0,152.0,80,0
179,0,28,1,8.0,1,2,0,63751.0,152.0,174,0
180,0,31,1,28.0,1,2,0,49823.0,152.0,273,0
181,1,24,1,24.0,1,2,0,33795.0,152.0,25,0
182,1,20,1,36.0,0,2,1,34888.0,160.0,205,0
183,0,21,1,36.0,1,2,0,46572.0,152.0,235,0
184,1,38,1,46.0,0,1,1,34057.0,152.0,86,0
185,1,26,1,3.0,1,2,0,2630.0,160.0,291,0
186,1,24,1,6.0,1,2,0,25944.0,152.0,283,0
187,0,30,1,3.0,1,2,0,40681.0,152.0,227,0
188,1,24,1,41.0,1,2,0,22824.0,152.0,170,0
189,1,36,1,18.0,0,1,1,25147.0,131.0,152,0
190,0,50,1,28.0,0,1,1,27414.0,26.0,120,1
191,1,22,1,8.0,1,2,0,27715.0,152.0,268,0
192,0,50,1,28.0,0,1,1,38392.0,26.0,236,1
193,0,48,1,33.0,0,1,1,38767.0,26.0,274,1
194,0,68,1,28.0,0,3,1,48815.0,26.0,266,1
195,1,25,1,6.0,1,2,0,32411.0,152.0,59,0
196,1,25,1,25.0,0,2,0,22506.0,152.0,288,0
197,1,23,1,15.0,0,2,0,33295.0,152.0,292,0
198,1,67,1,28.0,0,1,1,41398.0,26.0,139,0
199,0,26,1,24.0,1,2,0,30069.0,152.0,132,0
200,0,40,1,28.0,0,1,1,28723.0,26.0,261,0
201,0,31,1,15.0,0,2,1,41695.0,152.0,100,1
202,1,68,1,17.0,1,1,0,29591.0,124.0,204,0
203,0,52,1,3.0,0,1,1,24919.0,26.0,203,0
204,1,50,1,28.0,1,1,0,29714.0,122.0,227,0
205,0,46,1,46.0,0,1,1,2630.0,157.0,37,1
206,0,55,1,21.0,0,1,1,41220.0,109.0,136,0
207,1,38,1,46.0,0,1,1,19612.0,26.0,251,1
208,1,30,1,32.0,0,2,0,18758.0,152.0,294,0
209,1,21,1,29.0,1,2,0,50369.0,152.0,264,0
210,0,46,1,28.0,0,1,1,2630.0,124.0,87,1
211,1,50,1,8.0,0,1,0,36507.0,124.0,257,0
212,1,27,1,37.0,1,2,0,33988.0,152.0,139,0
213,1,53,1,8.0,0,1,1,38488.0,157.0,137,0
214,1,67,1,46.0,1,1,0,26403.0,94.0,102,0
215,0,48,1,28.0,0,1,1,36713.0,124.0,240,0
216,1,56,1,46.0,1,1,0,34546.0,124.0,169,0
217,1,79,1,28.0,0,1,1,47540.0,122.0,51,0
218,0,73,1,28.0,0,1,1,50834.0,122.0,237,0
219,1,34,1,28.0,0,1,1,41746.0,124.0,71,1
220,1,38,1,48.0,0,1,1,2630.0,124.0,20,0
221,1,27,1,27.0,1,2,0,30157.0,152.0,191,0
222,0,52,1,28.0,0,1,1,39653.0,48.0,18,0
223,1,30,1,6.0,1,2,0,27541.0,152.0,182,0
224,0,54,1,28.0,0,1,1,2630.0,26.0,290,0
225,1,25,1,36.0,1,2,0,2630.0,152.0,186,0
226,0,27,1,4.0,1,2,0,2630.0,152.0,80,0
227,0,25,1,29.0,1,2,0,35159.0,152.0,189,0
228,0,66,1,28.0,1,1,0,49610.0,124.0,296,0
229,0,20,1,28.0,0,2,0,37826.0,160.0,211,0
230,1,29,1,41.0,0,1,1,31669.0,163.0,295,1
231,0,22,1,30.0,1,2,0,30418.0,152.0,257,0
232,0,39,1,47.0,0,1,1,29887.0,26.0,188,1
233,1,25,1,29.0,1,2,0,35338.0,152.0,221,0
234,0,39,1,41.0,0,1,1,23017.0,124.0,230,1
235,1,24,1,27.0,0,2,1,24723.0,152.0,83,0
236,1,60,1,48.0,0,3,1,2630.0,26.0,276,0
237,1,23,1,12.0,1,2,0,21593.0,152.0,176,0
238,1,37,1,6.0,0,1,1,32139.0,122.0,167,0
239,0,75,1,8.0,1,1,0,34135.0,26.0,230,0
240,1,69,1,28.0,1,1,0,23773.0,26.0,102,0
241,0,45,1,28.0,0,1,1,22544.0,26.0,54,0
242,0,24,1,11.0,1,2,1,74018.0,152.0,281,0
243,0,25,1,8.0,1,2,1,29839.0,152.0,276,0
244,1,60,1,46.0,0,3,1,27372.0,26.0,264,1
245,1,51,1,30.0,1,1,0,26316.0,152.0,41,0
246,1,24,1,25.0,1,2,0,25306.0,152.0,149,0
247,0,22,1,46.0,1,2,0,38586.0,160.0,256,0
248,1,39,1,28.0,0,1,1,58736.0,30.0,223,0
249,1,47,1,28.0,1,1,0,2630.0,122.0,72,0
250,1,23,1,42.0,0,2,1,34082.0,152.0,267,0
251,0,25,1,28.0,1,2,0,57182.0,152.0,19,0
252,1,77,1,28.0,0,1,0,45620.0,122.0,118,0
253,1,47,1,45.0,0,1,1,2630.0,156.0,179,0
254,0,67,1,28.0,1,1,0,54189.0,124.0,242,0
255,0,43,1,8.0,0,3,1,49482.0,26.0,53,0
256,1,25,1,40.0,1,2,0,26790.0,152.0,16,0
257,0,36,1,8.0,0,1,1,39906.0,124.0,101,1
258,0,22,1,35.0,0,2,0,44193.0,160.0,102,0
259,0,51,1,8.0,0,1,1,41001.0,26.0,173,0
260,0,50,1,33.0,0,1,1,31813.0,26.0,205,1
261,1,21,1,46.0,1,2,0,36300.0,160.0,50,0
262,1,23,1,13.0,1,2,0,24281.0,152.0,142,0
263,0,63,1,33.0,0,1,1,25757.0,26.0,195,0
264,0,31,1,8.0,0,2,1,23008.0,152.0,216,0
265,0,66,1,28.0,0,3,1,42891.0,26.0,267,1
266,0,54,1,28.0,0,1,0,36606.0,124.0,17,0
267,0,24,1,29.0,0,2,1,40297.0,124.0,133,1
268,1,44,1,46.0,0,1,1,21554.0,93.0,86,1
269,0,28,1,28.0,0,2,1,65856.0,26.0,112,1
270,0,39,1,36.0,0,1,1,18776.0,26.0,87,1
271,0,50,1,28.0,0,1,1,43340.0,124.0,187,0
272,1,25,1,21.0,1,2,0,33842.0,152.0,238,0
273,1,25,1,19.0,1,2,0,30214.0,152.0,223,0
274,0,44,1,28.0,1,1,0,37369.0,122.0,269,0
275,0,44,1,28.0,0,1,1,47531.0,26.0,25,0
276,1,47,1,28.0,0,1,1,36008.0,124.0,76,1
277,0,41,1,28.0,0,1,1,37132.0,56.0,50,1
278,0,27,1,39.0,0,2,0,2630.0,152.0,217,0
279,0,24,1,28.0,1,2,0,37570.0,152.0,186,0
280,0,30,1,5.0,0,1,1,2630.0,124.0,148,1
281,0,23,1,6.0,1,2,0,33611.0,152.0,188,0
282,0,21,1,36.0,1,2,0,27850.0,160.0,173,0
283,0,56,1,45.0,1,1,0,29692.0,26.0,132,0
284,1,74,1,28.0,1,1,0,41902.0,26.0,199,0
285,1,50,1,8.0,0,3,1,35076.0,26.0,129,0
286,1,23,1,37.0,0,2,1,40999.0,152.0,11,0
287,0,73,1,36.0,1,1,0,33561.0,26.0,160,0
288,0,58,1,41.0,0,1,1,40470.0,26.0,132,1
289,0,47,1,48.0,1,1,0,2630.0,26.0,128,0
290,1,25,1,29.0,1,2,0,34646.0,152.0,80,0
291,0,35,1,46.0,0,1,1,24594.0,154.0,31,1
292,0,37,1,15.0,1,1,0,31875.0,160.0,26,0
293,0,24,1,28.0,1,2,0,47746.0,152.0,178,0
294,0,23,1,35.0,1,2,0,41466.0,152.0,121,0
295,0,29,1,28.0,0,1,1,2630.0,158.0,26,0
296,0,33,1,8.0,1,1,0,37043.0,124.0,125,0
297,0,41,1,41.0,0,3,1,2630.0,26.0,193,0
298,1,24,1,41.0,1,2,0,29592.0,152.0,282,0
299,0,28,1,33.0,1,2,0,2630.0,152.0,74,0
300,0,24,1,46.0,0,2,1,28293.0,152.0,66,0
301,0,46,1,28.0,0,1,1,36963.0,124.0,51,1
302,0,49,1,46.0,0,1,1,28842.0,21.0,12,0
303,0,56,1,2.0,0,1,1,2630.0,157.0,46,0
304,1,76,1,43.0,0,1,1,31532.0,26.0,113,1
305,0,61,1,8.0,0,3,1,40531.0,80.0,78,1
306,1,26,1,30.0,1,2,0,27853.0,152.0,54,0
307,0,44,1,24.0,1,1,0,37538.0,26.0,48,0
308,1,21,1,36.0,1,2,0,47990.0,152.0,274,0
309,1,43,1,28.0,0,1,1,27643.0,124.0,125,1
310,0,35,1,26.0,0,1,1,31018.0,124.0,276,0
311,0,57,1,28.0,0,1,1,39186.0,122.0,294,0
312,1,76,1,20.0,1,1,0,2630.0,125.0,65,0
313,1,21,1,4.0,0,2,1,15711.0,152.0,79,1
314,1,24,1,41.0,1,2,0,39135.0,152.0,209,0
315,1,24,1,29.0,1,2,0,45347.0,152.0,15,0
316,1,26,1,4.0,0,2,1,43534.0,152.0,149,0
317,0,23,1,6.0,0,2,0,35777.0,157.0,217,1
318,0,24,1,9.0,1,2,0,35388.0,152.0,110,0
319,1,25,1,39.0,0,2,0,2630.0,26.0,280,0
320,0,39,1,3.0,0,1,0,21510.0,26.0,290,0
321,0,50,1,37.0,1,1,0,36112.0,26.0,254,0
322,1,56,1,29.0,0,1,1,38420.0,124.0,243,0
323,0,52,1,22.0,0,1,1,30642.0,8.0,148,1
324,0,23,1,28.0,0,2,0,36203.0,152.0,226,0
325,0,22,1,46.0,0,2,1,18190.0,152.0,269,1
326,1,33,1,3.0,0,2,1,35355.0,124.0,177,1
327,1,73,1,0.0,1,1,0,2630.0,25.0,71,0
328,0,54,1,43.0,1,1,0,35685.0,124.0,88,0
329,1,42,1,43.0,1,1,0,2630.0,124.0,274,0
330,0,55,1,8.0,0,3,1,52507.0,26.0,274,0
331,0,74,1,28.0,0,1,1,49094.0,26.0,188,0
332,1,67,1,33.0,1,1,0,42837.0,138.0,68,0
333,0,22,1,3.0,1,2,0,63105.0,152.0,79,0
334,1,67,1,46.0,0,1,1,2630.0,156.0,271,0
335,0,52,1,46.0,1,1,0,29759.0,11.0,177,0
336,1,45,1,7.0,0,1,1,2630.0,26.0,227,0
337,0,48,1,46.0,1,1,0,27734.0,26.0,182,0
338,0,47,1,8.0,0,1,1,2630.0,124.0,109,0
339,0,73,1,15.0,1,1,0,32515.0,26.0,276,0
340,0,30,1,46.0,1,1,0,19583.0,124.0,199,0
341,0,44,1,28.0,0,1,1,46423.0,26.0,249,1
342,0,26,1,6.0,1,2,0,22447.0,152.0,237,0
343,1,21,1,39.0,1,2,0,24473.0,152.0,120,0
344,0,72,1,28.0,0,1,1,42058.0,26.0,220,0
345,0,24,1,8.0,1,2,0,28181.0,152.0,229,0
346,1,49,1,28.0,0,1,1,41862.0,26.0,77,1
347,0,51,1,39.0,0,1,1,2630.0,157.0,112,0
348,1,25,1,36.0,1,2,0,36631.0,152.0,259,0
349,0,45,1,28.0,0,3,1,40503.0,52.0,174,0
350,1,43,1,28.0,0,1,1,48810.0,26.0,268,0
351,1,70,1,4.0,1,1,0,22917.0,152.0,96,0
352,0,59,1,11.0,1,1,0,29466.0,124.0,160,0
353,0,36,1,28.0,0,1,1,34021.0,26.0,175,0
354,0,46,1,13.0,0,1,1,34520.0,124.0,225,0
355,0,48,1,6.0,1,1,0,27505.0,26.0,250,0
356,0,53,1,29.0,0,1,1,2630.0,26.0,99,0
357,1,44,1,28.0,0,1,1,69856.0,124.0,255,1
358,1,51,1,8.0,0,1,1,47352.0,124.0,253,1
359,0,49,1,3.0,1,1,0,39733.0,124.0,48,0
360,0,52,1,3.0,1,1,0,28309.0,26.0,118,0
361,1,27,1,6.0,1,2,0,37650.0,152.0,43,0
362,0,40,1,47.0,0,1,1,35512.0,124.0,42,1
363,1,21,1,46.0,0,2,0,22487.0,160.0,216,0
364,0,25,1,35.0,0,2,1,20197.0,152.0,202,0
365,1,22,1,46.0,1,2,0,29069.0,152.0,74,0
366,0,54,1,3.0,0,1,1,2630.0,124.0,106,1
367,0,36,1,8.0,1,1,0,41937.0,124.0,168,0
368,0,52,1,46.0,0,1,1,29193.0,26.0,162,0
369,0,56,1,28.0,1,1,0,40910.0,55.0,193,0
370,1,60,1,28.0,0,3,1,67188.0,147.0,69,0
371,1,21,1,11.0,1,2,0,28992.0,152.0,217,0
372,0,31,1,9.0,1,2,0,36362.0,152.0,296,0
373,1,54,1,28.0,0,1,1,46131.0,124.0,260,0
374,0,34,1,28.0,0,1,1,26988.0,152.0,74,0
375,0,35,1,28.0,0,1,1,29547.0,122.0,148,1
376,0,23,1,15.0,1,2,0,28166.0,152.0,79,0
377,1,22,1,8.0,0,2,1,47870.0,152.0,180,0
378,0,48,1,39.0,0,3,1,36648.0,124.0,34,1
379,1,24,1,36.0,1,2,0,52770.0,152.0,28,0
380,1,41,1,28.0,0,1,1,23196.0,26.0,57,1
381,1,40,1,28.0,0,1,1,28341.0,154.0,176,1
382,0,22,1,6.0,1,2,0,25713.0,152.0,261,0
383,0,45,1,29.0,1,1,0,27086.0,152.0,146,0
384,0,27,1,30.0,1,2,0,37593.0,160.0,159,0
385,0,41,1,50.0,1,1,0,25142.0,124.0,121,0
386,0,24,1,28.0,1,2,0,36203.0,152.0,95,0
387,0,49,1,28.0,0,1,1,39281.0,124.0,240,1
388,0,23,1,7.0,1,2,0,43623.0,163.0,257,0
389,0,20,1,25.0,0,2,0,27901.0,160.0,77,0
390,1,24,1,14.0,1,2,0,30434.0,152.0,29,0
391,0,25,1,8.0,0,2,1,37530.0,152.0,50,0
392,1,44,1,28.0,1,1,0,43426.0,26.0,251,0
393,1,24,1,50.0,0,2,0,29549.0,151.0,282,0
394,1,50,1,41.0,0,1,0,2630.0,26.0,76,0
395,1,22,1,50.0,1,2,0,32097.0,152.0,88,0
396,0,65,1,28.0,0,1,1,26736.0,13.0,277,1
397,0,64,1,33.0,0,1,1,44333.0,124.0,16,0
398,0,63,1,38.0,1,1,0,34172.0,26.0,214,0
399,0,59,1,28.0,0,1,1,23931.0,26.0,270,0
400,1,23,1,15.0,1,2,0,27673.0,152.0,32,0
401,0,45,1,28.0,0,1,1,52320.0,26.0,86,1
402,1,38,1,28.0,0,1,1,30236.0,26.0,263,1
403,0,40,1,41.0,0,1,1,2630.0,156.0,18,0
404,0,25,1,5.0,0,2,1,26273.0,163.0,85,0
405,0,27,1,50.0,1,2,0,26714.0,152.0,107,0
406,1,43,1,28.0,0,1,1,2630.0,125.0,143,1
407,0,73,1,28.0,0,1,1,37132.0,26.0,169,0
408,0,23,1,41.0,1,2,0,31053.0,152.0,269,0
409,1,65,1,8.0,1,1,0,42222.0,124.0,288,0
410,1,23,1,33.0,1,2,0,31499.0,152.0,84,0
411,1,23,1,18.0,1,2,0,29584.0,152.0,86,0
412,0,48,1,28.0,1,1,0,56805.0,26.0,164,0
413,1,28,1,2.0,1,2,0,2630.0,152.0,247,0
414,0,30,1,28.0,1,2,0,24365.0,152.0,226,0
415,0,26,1,41.0,1,2,0,27716.0,152.0,94,0
416,0,31,1,41.0,0,2,1,25341.0,152.0,279,0
417,0,79,1,28.0,1,1,0,35948.0,26.0,55,0
418,1,24,1,25.0,0,2,0,27578.0,152.0,178,0
419,0,35,1,29.0,0,1,0,2630.0,124.0,109,0
420,1,45,1,28.0,1,1,0,29418.0,124.0,100,0
421,0,49,1,28.0,1,1,0,37343.0,124.0,94,0
422,0,64,1,48.0,1,1,0,2630.0,124.0,166,0
423,1,45,1,50.0,0,1,1,48716.0,8.0,46,0
424,0,21,1,8.0,0,2,1,35692.0,152.0,194,0
425,0,29,1,45.0,0,1,0,2630.0,122.0,58,0
426,1,22,1,47.0,0,2,1,22135.0,152.0,233,0
427,0,35,1,10.0,0,1,1,36525.0,124.0,277,1
428,0,22,1,28.0,0,2,1,33379.0,152.0,126,0
429,1,27,1,8.0,0,2,0,51050.0,152.0,210,0
430,0,60,1,7.0,1,1,0,27025.0,160.0,222,0
431,0,24,1,6.0,1,2,0,24474.0,152.0,74,0
432,0,31,1,15.0,0,2,1,36386.0,152.0,72,0
433,1,23,1,24.0,1,2,0,38095.0,152.0,279,0
434,0,24,1,50.0,1,2,0,23903.0,152.0,48,0
435,0,24,1,29.0,1,2,0,26330.0,124.0,215,0
436,0,26,1,2.0,0,2,1,26675.0,124.0,238,1
437,1,46,1,28.0,0,1,1,66296.0,26.0,182,0
438,1,32,1,21.0,1,2,0,30185.0,152.0,279,0
439,1,25,1,28.0,1,2,0,33531.0,152.0,18,0
440,0,21,1,30.0,0,2,1,30547.0,152.0,274,0
441,0,47,1,33.0,0,1,1,2630.0,26.0,267,0
442,1,26,1,8.0,1,2,0,35404.0,152.0,84,0
443,1,22,1,8.0,1,2,0,59401.0,152.0,226,0
444,0,20,1,28.0,1,2,0,36268.0,156.0,244,0
445,0,29,1,41.0,1,2,0,34619.0,152.0,218,0
